ID,Year,Mnth,Day,Flow0,SYM
13340000,1981,6,24,27700.0,A
13340000,1981,6,25,24200.0,A
13340000,1981,6,26,22000.0,A
13340000,1981,6,27,20400.0,A
13340000,1981,6,28,18500.0,A
13340000,1981,6,29,16600.0,A
13340000,1981,6,30,15300.0,A
13340000,1981,7,1,14600.0,A
13340000,1981,7,2,13900.0,A
13340000,1981,7,3,12400.0,A
13340000,1981,7,4,11400.0,A
13340000,1981,7,5,10600.0,A
13340000,1981,7,6,10300.0,A
13340000,1981,7,7,14800.0,A
13340000,1981,7,8,13900.0,A
13340000,1981,7,9,10900.0,A
13340000,1981,7,10,9490.0,A
13340000,1981,7,11,8660.0,A
13340000,1981,7,12,8090.0,A
13340000,1981,7,13,7590.0,A
13340000,1981,7,14,7140.0,A
13340000,1981,7,15,6730.0,A
13340000,1981,7,16,6360.0,A
13340000,1981,7,17,6000.0,A
13340000,1981,7,18,5700.0,A
13340000,1981,7,19,5500.0,A
13340000,1981,7,20,5210.0,A
13340000,1981,7,21,4910.0,A
13340000,1981,7,22,4690.0,A
13340000,1981,7,23,4460.0,A
13340000,1981,7,24,4250.0,A
13340000,1981,7,25,4110.0,A
13340000,1981,7,26,4180.0,A
13340000,1981,7,27,4100.0,A
13340000,1981,7,28,3820.0,A
13340000,1981,7,29,3620.0,A
13340000,1981,7,30,3470.0,A
13340000,1981,7,31,3310.0,A
13340000,1981,8,1,3190.0,A
13340000,1981,8,2,3060.0,A
13340000,1981,8,3,2980.0,A
13340000,1981,8,4,2850.0,A
13340000,1981,8,5,2760.0,A
13340000,1981,8,6,2650.0,A
13340000,1981,8,7,2560.0,A
13340000,1981,8,8,2470.0,A
13340000,1981,8,9,2400.0,A
13340000,1981,8,10,2300.0,A
13340000,1981,8,11,2220.0,A
13340000,1981,8,12,2180.0,A
13340000,1981,8,13,2100.0,A
13340000,1981,8,14,2040.0,A
13340000,1981,8,15,2010.0,A
13340000,1981,8,16,1970.0,A
13340000,1981,8,17,1930.0,A
13340000,1981,8,18,1890.0,A
13340000,1981,8,19,1870.0,A
13340000,1981,8,20,1910.0,A
13340000,1981,8,21,1960.0,A
13340000,1981,8,22,1910.0,A
