x,y,SPEED_MAX_GUST,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,LOCAL_YEAR,LOCAL_MONTH,PROVINCE_CODE,DIRECTION_MAX_GUST_FLAG,STATION_NAME,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,TOTAL_SNOW_FLAG,TOTAL_RAIN_FLAG,LOCAL_DATE,TOTAL_SNOW,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MAX_TEMPERATURE,LOCAL_DAY,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,ID,MIN_TEMPERATURE
-118.02972222222222,52.92638888888889,41,,0,,1994,5,AB,,JASPER WARDEN,,6.3,,M,M,1994-05-07 00:00:00,,,,20.1,7,,,,11.7,,23,,3053536,,0,,,3053536.1994.5.7,3.3
-118.02972222222222,52.92638888888889,0,,0,,1994,5,AB,,JASPER WARDEN,,8,,M,M,1994-05-08 00:00:00,,,,23.3,8,,,,10,,0,,3053536,,0,,,3053536.1994.5.8,-3.4
-118.02972222222222,52.92638888888889,37,,0,,1994,5,AB,,JASPER WARDEN,,6.1,,M,M,1994-05-09 00:00:00,,,,23,9,,,,11.9,,23,,3053536,,0,,,3053536.1994.5.9,0.7
-118.02972222222222,52.92638888888889,0,,0,,1994,5,AB,,JASPER WARDEN,,5.8,,M,M,1994-05-10 00:00:00,,,,15.6,10,,,,12.2,,0,,3053536,,0,,,3053536.1994.5.10,8.8
-118.02972222222222,52.92638888888889,35,,0,,1994,5,AB,,JASPER WARDEN,,4.5,,M,M,1994-05-11 00:00:00,,,,22.4,11,,,,13.5,,20,,3053536,,0,,,3053536.1994.5.11,4.5
-118.02972222222222,52.92638888888889,0,,0.4,,1994,5,AB,,JASPER WARDEN,,8.7,,M,M,1994-05-12 00:00:00,,,,14.9,12,,,,9.3,,0,,3053536,,0,,,3053536.1994.5.12,3.6
-118.02972222222222,52.92638888888889,35,,1.8,,1994,5,AB,,JASPER WARDEN,,10.3,,M,M,1994-05-13 00:00:00,,,,12.8,13,,,,7.7,,27,,3053536,,0,,,3053536.1994.5.13,2.6
-118.02972222222222,52.92638888888889,0,,0,,1994,5,AB,,JASPER WARDEN,,11.4,,M,M,1994-05-14 00:00:00,,,,15.1,14,,,,6.6,,0,,3053536,,0,,,3053536.1994.5.14,-1.9
-118.02972222222222,52.92638888888889,46,,0,,1994,5,AB,,JASPER WARDEN,,9.9,,M,M,1994-05-15 00:00:00,,,,16,15,,,,8.1,,33,,3053536,,0,,,3053536.1994.5.15,0.2
-118.02972222222222,52.92638888888889,0,,9.8,,1994,5,AB,,JASPER WARDEN,,11.8,,M,M,1994-05-16 00:00:00,,,,9,16,,,,6.2,,0,,3053536,,0,,,3053536.1994.5.16,3.4
-118.02972222222222,52.92638888888889,37,,2.3,,1994,5,AB,,JASPER WARDEN,,10.4,,M,M,1994-05-17 00:00:00,,,,11.4,17,,,,7.6,,35,,3053536,,0,,,3053536.1994.5.17,3.8
-118.02972222222222,52.92638888888889,32,,0,,1994,5,AB,,JASPER WARDEN,,11.2,,M,M,1994-05-18 00:00:00,,,,9.2,18,,,,6.8,,36,,3053536,,0,,,3053536.1994.5.18,4.4
-118.02972222222222,52.92638888888889,46,,0,,1994,5,AB,,JASPER WARDEN,,12,,M,M,1994-05-19 00:00:00,,,,14.8,19,,,,6,,33,,3053536,,0,,,3053536.1994.5.19,-2.9
-118.02972222222222,52.92638888888889,44,,0,,1994,5,AB,,JASPER WARDEN,,9.1,,M,M,1994-05-20 00:00:00,,,,11.7,20,,,,8.9,,35,,3053536,,0,,,3053536.1994.5.20,6
-118.02972222222222,52.92638888888889,39,,5.6,,1994,5,AB,,JASPER WARDEN,,10.3,,M,M,1994-05-21 00:00:00,,,,10.7,21,,,,7.7,,35,,3053536,,0,,,3053536.1994.5.21,4.6
